GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,-log10(padj),ann
EBF1,3988.74369629586,7.77819987263909,0.537534724261421,14.4701347123694,1.87105360656295e-47,2.81792427791373e-43,M_vs_G,42.5500706812501,Up regulated
PLD4,325.971964824478,4.99002427512047,0.345866064930215,14.427620345255,3.46842793761305e-47,2.81792427791373e-43,M_vs_G,42.5500706812501,Up regulated
LARGE1,629.345184796963,4.90249805525392,0.363390187875756,13.4910028361308,1.76680865745036e-41,9.56962462497027e-38,M_vs_G,37.0191050973853,Up regulated
CSGALNACT1,2352.83352592843,7.79011328514664,0.592983099502398,13.1371590382318,2.01656601885068e-39,8.19179531007619e-36,M_vs_G,35.0866209080302,Up regulated
PAG1,247.876575683801,6.26090550940766,0.495531333516757,12.6347318240693,1.3585654286091e-36,4.41506592989384e-33,M_vs_G,32.3550628067466,Up regulated
SNX22,91.0111062853714,5.31999028972774,0.43460867722708,12.2408745349281,1.87995984048796e-34,5.09124457468147e-31,M_vs_G,30.2931760396974,Up regulated
GLRX,109.025066315895,4.53442614776485,0.382236232111694,11.8628894040579,1.84496489145322e-32,4.28269064588906e-29,M_vs_G,28.3682832951191,Up regulated
TRIB2,161.270479107916,5.92015387741281,0.503379652551378,11.7608128326334,6.21332250857173e-32,1.26200346802228e-28,M_vs_G,27.8989394516364,Up regulated
SSPN,161.531702808398,5.34127723750399,0.463661422192453,11.5197792653256,1.04879327041244e-30,1.89353798343685e-27,M_vs_G,26.7227259787229,Up regulated
PPP1R14A,134.172848502117,9.1707549730848,0.820389369420155,11.1785395020009,5.19376757514591e-29,8.4393529328546e-26,M_vs_G,25.0736908505857,Up regulated
PDE4D,648.885619731845,3.76495603127509,0.351319837980745,10.7166052817132,8.50685129891202e-27,1.25661660687292e-23,M_vs_G,22.900797205144,Up regulated
SCML1,82.4815087121205,6.71568089280825,0.649161615434563,10.3451601775817,4.40179587564123e-25,5.96039843194119e-22,M_vs_G,21.2247247082111,Up regulated
CMTM7,180.763447850704,4.41971195825222,0.429218486207546,10.2971146403864,7.26064534083383e-25,9.07524816486221e-22,M_vs_G,21.0421414902415,Up regulated
GRAP2,144.434125530702,5.5440816342502,0.543292773433187,10.2045930028039,1.89112344144071e-24,2.04943729161748e-21,M_vs_G,20.6883653656232,Up regulated
ANKRD33B,146.205226223644,5.02708995867012,0.492632063853214,10.2045529057727,1.89190469408962e-24,2.04943729161748e-21,M_vs_G,20.6883653656232,Up regulated
