Sample,PC1,PC2,Group
12557IgG,-26.5525247022562,-16.0700595800006,IgG
12557IgM,37.4703593492442,3.78560284572771,IgM
13240IgG,-38.5188623395216,23.8794341003963,IgG
13240IgM,3.06443714581109,33.1552219361293,IgM
13941IgG,-35.6833698894764,-16.5068053320259,IgG
13941IgM,39.0465117607558,3.37957798089705,IgM
23556IgG,-4.13586825317823,-9.08505354587312,IgG
23556IgM,49.5804159272548,-4.94911181094486,IgM
24133_IgG,-42.0715990305175,0.320133702837205,IgG
24133_IgM,13.4491859230012,-26.0884301689679,IgM
36924IgG,-10.4931761164166,-6.19090046561819,IgG
36924IgM,33.0418520533924,-0.420229413659085,IgM
46184IgG,-34.3926393094775,3.75179124266082,IgG
46184IgM,16.1952774813847,11.0388285084415,IgM
