ann,GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,-log10(padj)
Up regulated,PPP1R14A,134.172848502117,9.1707549730848,0.820389369420155,11.1785395020009,5.19376757514591e-29,8.4393529328546e-26,M_vs_G,25.0736908505857
Up regulated,LINC02202,45.733574817411,8.90488037977336,0.888305292475947,10.0245720195509,1.18873483719096e-23,1.07309735386199e-20,M_vs_G,19.9693608760516
Up regulated,IL6,97.6795449384664,8.22821342347951,1.23595385012771,6.65737917530604,2.78753388980566e-11,4.31377506432877e-09,M_vs_G,8.36514250431175
Up regulated,CSGALNACT1,2352.83352592843,7.79011328514664,0.592983099502398,13.1371590382318,2.01656601885068e-39,8.19179531007619e-36,M_vs_G,35.0866209080302
Up regulated,EBF1,3988.74369629586,7.77819987263909,0.537534724261421,14.4701347123694,1.87105360656295e-47,2.81792427791373e-43,M_vs_G,42.5500706812501
Up regulated,IL6-AS1,19.7705046010085,7.31774559143556,2.16274331651123,3.38354789288633,0.000715557262345946,0.00916735942190916,M_vs_G,2.03775574106272
Up regulated,SOX4,56.1207881844708,7.21272910393659,0.743658788262009,9.69897649000199,3.04538159360599e-22,2.47422027572518e-19,M_vs_G,18.6065616384687
Up regulated,LOC102725003,32.6832559573898,7.02268655340729,0.867769325216578,8.09280340907945,5.83069308724153e-16,1.78760249008656e-13,M_vs_G,12.7477290490497
Up regulated,PMEPA1,84.7219229490286,6.9328556977715,0.985720282303271,7.03328908031793,2.01720820130644e-12,4.31284421881951e-10,M_vs_G,9.36523622841304
Up regulated,LOC102724999,12.0007703539155,6.81555631342074,1.09512010679229,6.22356969902062,4.8596877606033e-10,5.80625488397375e-08,M_vs_G,7.23610390335215
Down regulated,KIFC2,32.8164558643782,-5.3322517644581,0.673565837893716,-7.91645220774913,2.44383613779486e-15,6.73049040729299e-13,M_vs_G,12.1719532903939
Down regulated,WAPL-DT,4.32679095692862,-5.2739453656222,1.4253200337436,-3.70018328569352,0.000215443807449444,0.00362396110480954,M_vs_G,2.44081647215892
Down regulated,WNT9A,37.2529231790437,-4.98709169935406,0.903190312523955,-5.52163993590419,3.35850180082734e-08,2.48582507803462e-06,M_vs_G,5.60452943495306
Down regulated,H1-10-AS1,7.19263171424542,-4.66224876048616,1.32430424992827,-3.52052691874899,0.000430690274017102,0.00622069890000345,M_vs_G,2.20616081927004
Down regulated,LOC107985125,5.27655114284029,-4.38084598087992,1.36695915573099,-3.2048111770664,0.0013515111131799,0.0148744574274618,M_vs_G,1.82755886698139
Down regulated,CD276,16.5276401036452,-4.3723234186136,0.916710216193055,-4.76958076977819,1.84609712614689e-06,7.51810330896263e-05,M_vs_G,4.12389171078447
Down regulated,ZNF295-AS1,5.64687574232052,-4.31927074795626,1.12695637504845,-3.8326867335664,0.000126751319319875,0.00239208151873246,M_vs_G,2.62122402429382
Down regulated,LOC105373851,6.04532740167986,-4.231264467883,1.25017287429627,-3.38454349384665,0.000712967223208235,0.00915087236169874,M_vs_G,2.03853750223817
Down regulated,FHL3,10.2828554007587,-4.17398105224508,1.18701225036718,-3.51637571638704,0.00043748142390901,0.00629640005057352,M_vs_G,2.20090768626573
Down regulated,HTRA3,6.31947059433088,-4.16726867514956,1.24054656466435,-3.3592198744084,0.000781628505818434,0.00981505532538156,M_vs_G,2.00810724803135
