Description,enrichmentScore,NES,rank,Count,Group,log_padj
Activation of NF-kappaB in B cells,0.593789493399968,2.30809212556237,6280,40,1,5.17995763813006
Apoptosis,0.325650242000783,1.4335610649128,5151,60,1,1.88794773671126
B cell receptor signaling pathway,0.490260284897416,1.92007263850436,3973,22,1,3.21361306858045
Dectin-1 mediated noncanonical NF-kB signaling,0.568004099543526,2.1376005730965,6446,38,1,3.84643691303906
Degradation of beta-catenin by the destruction complex,0.367931496499863,1.46123361037445,6545,44,1,1.34431825479697
Depurination,0.485497759393599,1.75116412926597,4115,21,1,1.98980780395734
Depyrimidination,0.478838312175498,1.74893441391982,4115,23,1,1.79991644718653
Downstream signaling events of B Cell Receptor (BCR),0.534732660604465,2.1337851721557,6280,46,1,4.49888597408029
GOBP_B_CELL_ACTIVATION,0.430303966888616,1.9875427575961,3286,57,1,6.51686801163385
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,0.457115525671689,1.83517500478257,3674,21,1,2.24973199837179
GOBP_B_CELL_DIFFERENTIATION,0.439564794417995,1.85728291804471,1766,16,1,2.86262140767956
GOBP_B_CELL_PROLIFERATION,0.51202501634518,2.03045997200681,3233,30,1,3.27612569946907
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.489655561497653,1.80666970933873,3257,18,1,1.86819859526374
Oxidative phosphorylation,0.535589627567843,2.30128274005533,5585,77,1,6.52798429483689
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.577517087889252,1.95861547930922,4397,12,2,2.22129148084128
antigen binding,0.579417086746057,2.10366596919417,3568,25,2,2.39896257135119
Antigen processing and presentation,0.598880474530107,2.20150848232373,4351,33,2,4.0813278169018
Antigen processing-Cross presentation,0.481230871630665,1.94631349814145,5941,55,2,4.07601105225088
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,0.483453196697655,2.00572920719925,3279,34,2,3.02404165249836
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN,0.729810755374088,2.19070452467244,4324,13,2,2.22139179059405
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,0.63568818012072,2.17871937343187,3102,24,2,2.91692844364662
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,0.586484308557316,1.92752351398967,3102,20,2,1.78085855035193
