sample	group1	group2	clonality
1766PBCD4	cd4	PB	11.605957912
1951PBCD4	cd4	PB	2.823214847
2124PBCD4	cd4	PB	17.164601751
2231PBCD4	cd4	PB	42.013369252
1197PBCD4	cd4	PB	30.380377491
1575PBCD4	cd4	PB	10.671756952
1672PBCD4	cd4	PB	21.292947557
1818PBCD4	cd4	PB	12.6734459367625
2052PBCD4	cd4	PB	13.5483042550118
2121PBCD4	cd4	PB	19.9655010916959
2239PBCD4	cd4	PB	2.450162599
2382PBCD4	cd4	PB	5.111027575
3598PBCD4	cd4	PB	52.7996089822987
710PBCD4	cd4	PB	3.500273399
719PBCD4	cd4	PB	31.534384435
IN003008CD4	cd4	PB	2.048200452
IN003104PBCD4	cd4	PB	3.160633384
IN003277CD4	cd4	PB	34.414554372
IN003315CD4	cd4	PB	3.10561119
IN003606CD4	cd4	PB	5.017918221
IN000719CD4	cd4	ΒΜ	34.071209233
IN001197CD4	cd4	ΒΜ	35.324541521
IN002121CD4	cd4	ΒΜ	16.241733803
IN002124CD4	cd4	ΒΜ	37.638257786
IN002382CD4	cd4	ΒΜ	23.867964451
IN003008CD4	cd4	ΒΜ	4.897739504
IN003598CD4	cd4	ΒΜ	17.643117549
IN003606CD4	cd4	ΒΜ	20.090882921
IN000710CD4	cd4	ΒΜ	28.6582795629195
IN001575CD4	cd4	ΒΜ	12.076753389
IN001672CD4	cd4	ΒΜ	18.774883071
IN001766CD4	cd4	ΒΜ	11.199454519
IN001818CD4	cd4	ΒΜ	12.094356067
IN001951CD4	cd4	ΒΜ	14.766561118
IN002052CD4	cd4	ΒΜ	19.377895908
IN002231CD4	cd4	ΒΜ	26.502694136
IN002239CD4	cd4	ΒΜ	19.483944795
IN003104CD4	cd4	ΒΜ	5.675701603
IN003277CD4	cd4	ΒΜ	23.990822398
IN003315CD4	cd4	ΒΜ	2.98297887
1197PBCD8	cd8	PB	69.3623851483657
1575PBCD8	cd8	PB	61.382693407
1672PBCD8	cd8	PB	65.539157879
1766PBCD8	cd8	PB	39.265208493
1818PBCD8	cd8	PB	55.711086600488
1951PBCD8	cd8	PB	30.365572366
2052PBCD8	cd8	PB	61.9066021234187
2121PBCD8	cd8	PB	90.1334773665597
2124PBCD8	cd8	PB	42.458919486
2231PBCD8	cd8	PB	83.109494264
2239PBCD8	cd8	PB	36.899131799
2382PBCD8	cd8	PB	27.269609049
710PBCD8	cd8	PB	32.226757772
719PBCD8	cd8	PB	17.89912138
IN003008PBCD8	cd8	PB	42.630742095
IN003104PBCD8	cd8	PB	48.942330698
IN003277CD8	cd8	PB	67.192508939
IN003315CD8	cd8	PB	28.076583717
IN003598CD8	cd8	PB	39.448814658
IN003606CD8	cd8	PB	68.861643991
IN000719CD8	cd8	ΒΜ	34.379855971
IN001197CD8	cd8	ΒΜ	79.32941353
IN002121CD8	cd8	ΒΜ	62.745542031
IN002124CD8	cd8	ΒΜ	59.394078846
IN002382CD8	cd8	ΒΜ	31.708242264
IN003008CD8	cd8	ΒΜ	31.393565752
IN003598CD8	cd8	ΒΜ	60.733184787
IN003606CD8	cd8	ΒΜ	59.063174343
IN000710CD8	cd8	ΒΜ	48.207326578332
IN001575CD8	cd8	ΒΜ	64.799796755
IN001672CD8	cd8	ΒΜ	47.314774224
IN001766CD8	cd8	ΒΜ	40.389328973
IN001818CD8	cd8	ΒΜ	53.8342223735483
IN001951CD8	cd8	ΒΜ	38.321321261
IN002052CD8	cd8	ΒΜ	20.898504245
IN002231CD8	cd8	ΒΜ	55.878669818
IN002239CD8	cd8	ΒΜ	54.606389051
IN003104CD8	cd8	ΒΜ	40.213206985
IN003277CD8	cd8	ΒΜ	40.834352026
IN003315CD8	cd8	ΒΜ	17.05690878
