Description	geneID
Immune Receptor Activity	KLRD1/KLRC4-KLRK1/KLRF1/KLRC2/CD160/CCR4/KLRC1/IL18RAP/IL6R/IL2RA/CD4/C5AR1/PRLR/IFNGR2/CCR1/FPR2/FCER1G/HLA-DRB1/IFNLR1/CX3CR1/IL1R2/CCRL2/CTSH/CSF3R/FPR1/CSF2RB/CXCR2/LILRB2/IL13RA1/C3AR1/IL1RL2/IL31RA/IL1R1/CR1/HLA-DRB3/HLA-DQA1/GPR35/CD74/IL23R/CXCR1/C5AR2/CCR2/IL5RA/F3/CCR8/IL18R1/FPR3/LILRA2/FLT3/CCR7
Cytokine Binding	CCR4/IL6R/IL2RA/THBS1/CD4/CD93/TGFBR3/CD109/PRLR/IL1RN/CCR1/TGFBR3L/BMPR1A/CX3CR1/IL1R2/CCRL2/CSF3R/CXCR2/IL13RA1/GREM2/PLP2/IL31RA/IL1R1/NRP1/CD74/IL23R/CXCR1/CCR2/CD36/TNFRSF9/ACVR1/IL5RA/NRP2/CCR8/ENG/IL18R1/TWSG1/CCR7
Cytokine Receptor Activity	CCR4/IL18RAP/IL6R/IL2RA/CD4/PRLR/IFNGR2/CCR1/IFNLR1/CX3CR1/IL1R2/CCRL2/CSF3R/CSF2RB/CXCR2/IL13RA1/IL1RL2/IL31RA/IL1R1/GPR35/CD74/IL23R/CXCR1/CCR2/IL5RA/F3/CCR8/IL18R1/FLT3/CCR7
Toll-Like Receptor Binding	S100A9/SYK/TLR2/LY96/S100A8/UNC93B1/TLR1/CD36/TLR6
Cytokine Receptor Binding	CD40LG/IFNG/IL6R/CXCL16/XCL1/TGFBR3/XCL2/PRLR/FASLG/IL1RN/TGFBR3L/EDA/TNFSF9/CX3CR1/IL18/CCRL2/SYK/ITCH/TNFSF13B/IL13RA1/CCL2/CCL4L1/CD70/TNFSF8/IL10/IL1B/SMAD6/CXCL2/GRB2/SMAD3/CCDC88A/IL23R/LRG1/CCR2/SPRED1/ENG/IL27/PPBP/CXCL1/IL15/CCL7/STAP1/SH2B3
Immune response regulating signaling pathway	CD8B/CD8A/KLRD1/KLRC4-KLRK1/KLRC2/CD160/KLRC3/FCRL3/KLRC1/TNIP3/CD28/RAB29/YES1/FOXP3/ESR1/C5AR1/TYROBP/SLA2/SLC15A3/LGALS3/IRAK3/CBLB/FCN1/FPR2/FCER1G/HLA-DRB1/CARD11/ALPK1/TLR3/SH2D1A/NFATC2/BTK/CTSH/GFI1/HCK/FFAR2/SYK/IRAK2/FPR1/TLR2/MEF2C/LGALS9/PRKCH/TLR4/LILRB2/MAP3K1/ITCH/NECTIN2/CLEC4E/TNFRSF21/PRKCQ/LY96/VAV3/CTLA4/CLEC4D/NINJ1/C3AR1/LAX1/NFAM1/CD38/TASL/CR1/HLA-DRB3/UNC93B1/GRAMD4/SKAP1/LACC1/PELI1/DUSP3/PLCG2/PTK2/PSEN1/PTPRJ/NOD2/DDX60/RNF125/TLR1/C5AR2/BTN3A2/CD36/CTSS/RNF135/LAT2/VAV2/KCNN4/FYN/SLC15A4/PRAM1/LCP2/THEMIS2/LCK/BLNK/LAPTM5/TLR6/FPR3/CACNB3/LILRA2/BTLA/PRKCD/MAPKAPK3/LYN/SPG21/STAP1/CCR7/IRAK1/PAK3
Activation of immune response	CD8B/CD8A/KLRD1/KLRC4-KLRK1/KLRC2/CD160/KLRC3/FCRL3/PYHIN1/CD28/RAB29/YES1/FOXP3/C5AR1/TYROBP/SLA2/CFP/LGALS3/SERPING1/CBLB/FCN1/FPR2/FCER1G/HLA-DRB1/CARD11/VSIG4/SH2D1A/NFATC2/BTK/C1QB/HCK/FFAR2/SYK/FPR1/C1QA/MEF2C/PRKCH/TLR4/NECTIN2/TNFRSF21/VAV3/ZBP1/CTLA4/C3AR1/LAX1/NFAM1/CD38/CR1/HLA-DRB3/SUSD4/SKAP1/IL1B/DUSP3/PLCG2/PTK2/PSEN1/PTPRJ/NOD2/C4BPB/C5AR2/BTN3A2/LAT2/VAV2/KCNN4/FYN/KRT1/PRAM1/LCP2/THEMIS2/LCK/BLNK/LAPTM5/FPR3/CACNB3/LILRA2/PRKCD/CD55/LYN/SPG21/STAP1/CCR7/PAK3
Cell activation involved in immune response	PTGDR/NKG7/EOMES/KLRC2/CD40LG/TBX21/ZNF683/IFNG/IL6R/CD28/FOXP3/SLAMF6/TYROBP/LGALS3/PTAFR/LRP1/SPI1/HMOX1/APP/HLX/SLC11A1/NLRP3/SH2D1B/FCER1G/HLA-DRB1/ADORA2B/ADGRE2/CX3CR1/IL18/BTK/SYK/CD86/LGALS9/TLR4/RAB27A/CLEC4E/GRN/CLEC4D/CR1/MILR1/LEF1/IL10/FES/CD74/PLCG2/IL23R/PSEN1/CD244/CCR2/IRF8/CD180/LAT2/SLC15A4/PRAM1/SEMA4A/SLAMF1/GBF1/CRACR2A/IL18R1/IL27/GAPT/LILRA2/VAMP3/ICAM1/DNASE1L3/LYN/UNG/VAMP8/VAMP2
Regulation of innate immune response	KLRD1/KLRC4-KLRK1/KLRC2/CD160/KLRC3/CRTAM/LAG3/KLRC1/PYHIN1/SLAMF6/TYROBP/SPI1/SERPING1/IRAK3/EREG/FCN1/FPR2/SH2D1B/VSIG4/CD1D/SH2D1A/NCF1/HCK/FFAR2/SYK/LGALS9/TLR4/PPARG/NECTIN2/CADM1/GRN/ZBP1/TASL/CR1/SUSD4/CD96/NLRC3/PLCG2/NOD2/LYAR/RNF135/SAMHD1/FYN/SLC15A4/DUSP10/LILRA2/LYN/PAK3
Positive regulation of innate immune response	KLRD1/KLRC4-KLRK1/KLRC2/CD160/KLRC3/CRTAM/LAG3/PYHIN1/SLAMF6/TYROBP/SPI1/EREG/FCN1/FPR2/SH2D1B/CD1D/SH2D1A/HCK/FFAR2/SYK/TLR4/NECTIN2/CADM1/ZBP1/TASL/PLCG2/NOD2/FYN/SLC15A4/LILRA2/LYN/PAK3
