length	type	chr
124882	protein_coding	chr1
51244	protein_coding	chr1
39318	protein_coding	chr1
45043	protein_coding	chr1
15421	protein_coding	chr1
283709	protein_coding	chr1
11476	protein_coding	chr1
3235	protein_coding	chr1
25927	protein_coding	chr1
168570	protein_coding	chr2
19379	protein_coding	chr2
45419	protein_coding	chr2
13593	protein_coding	chr2
75328	protein_coding	chr2
4208	protein_coding	chr2
64178	protein_coding	chr2
213391	protein_coding	chr2
23806	protein_coding	chr2
7341	protein_coding	chr2
38906	protein_coding	chr2
42938	protein_coding	chr2
190816	protein_coding	chr2
93131	protein_coding	chr2
118238	protein_coding	chr3
163856	protein_coding	chr3
221953	protein_coding	chr3
26872	protein_coding	chr3
737389	protein_coding	chr3
55007	protein_coding	chr3
78335	protein_coding	chr3
271465	protein_coding	chr4
29557	protein_coding	chr4
21919	protein_coding	chr4
103112	protein_coding	chr4
90682	protein_coding	chr4
106229	protein_coding	chr4
216341	protein_coding	chr4
222882	protein_coding	chr4
180624	protein_coding	chr5
86102	protein_coding	chr5
21526	protein_coding	chr5
277125	protein_coding	chr5
125908	protein_coding	chr5
136363	protein_coding	chr5
152955	protein_coding	chr5
55902	protein_coding	chr5
157582	protein_coding	chr5
9675	protein_coding	chr6
23698	protein_coding	chr6
19124	protein_coding	chr6
12980	protein_coding	chr6
149475	protein_coding	chr6
102787	protein_coding	chr6
79514	protein_coding	chr6
45691	protein_coding	chr6
53672	protein_coding	chr6
29455	protein_coding	chr7
38290	protein_coding	chr7
16098	protein_coding	chr7
44029	protein_coding	chr7
205660	protein_coding	chr7
105650	protein_coding	chr7
38606	others	chr7
158697	protein_coding	chr7
33326	protein_coding	chr7
67133	protein_coding	chr7
32516	protein_coding	chr7
66200	protein_coding	chr7
20196	protein_coding	chr8
214040	protein_coding	chr8
33857	protein_coding	chr8
79159	protein_coding	chr8
344317	protein_coding	chr8
4124	antisense	chr9
360459	protein_coding	chr9
156008	protein_coding	chr9
66195	protein_coding	chr9
179707	protein_coding	chr10
123378	protein_coding	chr10
46823	protein_coding	chr10
15318	protein_coding	chr10
122047	protein_coding	chr10
25169	protein_coding	chr10
189932	protein_coding	chr10
134343	protein_coding	chr10
72295	protein_coding	chr10
30986	protein_coding	chr10
38185	protein_coding	chr11
23536	protein_coding	chr11
3066	protein_coding	chr11
98791	protein_coding	chr11
146619	protein_coding	chr11
16242	protein_coding	chr11
246687	protein_coding	chr12
172134	protein_coding	chr12
33736	protein_coding	chr12
84524	protein_coding	chr12
3388	protein_coding	chr12
75454	protein_coding	chr12
85442	protein_coding	chr12
341331	protein_coding	chr13
129521	protein_coding	chr13
282394	protein_coding	chr13
8506	protein_coding	chr14
111359	protein_coding	chr14
55985	protein_coding	chr14
56108	protein_coding	chr14
207978	protein_coding	chr14
494279	protein_coding	chr14
166192	protein_coding	chr14
17939	protein_coding	chr14
116148	protein_coding	chr15
55750	protein_coding	chr15
78314	protein_coding	chr15
225325	protein_coding	chr15
134248	protein_coding	chr15
964	pseudogene	chr15
74121	protein_coding	chr15
39968	protein_coding	chr15
312016	protein_coding	chr15
24025	protein_coding	chr16
58454	protein_coding	chr16
144509	protein_coding	chr16
21172	protein_coding	chr17
11408	protein_coding	chr17
83330	protein_coding	chr17
54061	protein_coding	chr17
190785	protein_coding	chr17
166543	protein_coding	chr18
156676	protein_coding	chr18
78754	protein_coding	chr18
38722	protein_coding	chr18
154857	protein_coding	chr18
25636	protein_coding	chr19
109738	protein_coding	chr19
35983	protein_coding	chr19
75177	protein_coding	chr19
11569	protein_coding	chr19
38380	protein_coding	chr20
27623	protein_coding	chr20
113486	protein_coding	chr20
4844	protein_coding	chr22
954	others	chrM
1559	others	chrM
207	protein_coding	chrM
784	protein_coding	chrM
346	protein_coding	chrM
297	protein_coding	chrM
17593	protein_coding	chrX
22138	protein_coding	chrX
7559	protein_coding	chrX
2250	protein_coding	chrX
64122	protein_coding	chrX
1265	protein_coding	chrX
61852	protein_coding	chrX
